title,price,house_area,land_area,date_posted,address,highway,km,type,house_area_group,land_area_group,price_per_m2,price_per_m2_group
Дом 154 м² на участке 7 сот.,10999000.0,154.0,7.0,Вчера,д. Еремеево,Пятницкое шоссе,27,Дом,150-180 м²,6-9 соток,71422.07792207792,70k-80k
Дом 150 м² на участке 7 сот.,10900000.0,150.0,7.0,2 недели назад,Троицк,Калужское шоссе,24,Дом,150-180 м²,6-9 соток,72666.66666666667,70k-80k
"Дом 158,6 м² на участке 5,9 сот.",19500000.0,158.6,,6 июля 19:18,коттеджный пос. Берег Песочной,Волоколамское шоссе,31,Дом,150-180 м²,,122950.81967213115,100k-150k
Дача 55 м² на участке 7 сот.,3350000.0,55.0,7.0,22 июня 15:22,загородный комплекс Зелёный квартал,Егорьевское шоссе,52,Дача,0-60 м²,6-9 соток,60909.09090909091,60k-70k
"Дом 141 м² на участке 6,7 сот.",21800000.0,141.0,,10 июля 20:06,СНТ Купавна,Носовихинское шоссе,19,Дом,120-150 м²,,154609.9290780142,150k-200k
Дом 22 м² на участке 6 сот.,600000.0,22.0,6.0,1 час назад,"Дмитров, СНТ Горняк",Дмитровское шоссе,46,Дом,0-60 м²,6-9 соток,27272.727272727272,20k-30k
Дом 180 м² на участке 8 сот.,8200000.0,180.0,8.0,23 апреля 14:12,СНТ Химик-5А,Новорязанское шоссе,64,Дом,180-210 м²,6-9 соток,45555.555555555555,40k-50k
Дом 120 м² на участке 4 сот.,5945000.0,120.0,4.0,17 июля 10:37,д. Маврино,Калужское шоссе,37,Дом,120-150 м²,3-6 соток,49541.666666666664,40k-50k
Дом 135 м² на участке 7 сот.,11500000.0,135.0,7.0,7 дней назад,Воскресенское,Калужское шоссе,11,Дом,120-150 м²,6-9 соток,85185.18518518518,80k-90k
"Дом 240 м² на участке 12,7 сот.",19795000.0,240.0,,7 дней назад,коттеджный пос. Семибратское-1,Новорязанское шоссе,80,Дом,240-300 м²,,82479.16666666667,80k-90k
Дом 41 м² на участке 18 сот.,3450000.0,41.0,18.0,19 июля 12:13,д. Фатеево,Носовихинское шоссе,,Дом,0-60 м²,17+ соток,84146.34146341463,80k-90k
Дом 2524 м² на участке 36 сот.,851000000.0,2524.0,36.0,3 недели назад,"д. Папушево, КП Папушево парк",Рублёво-Успенское шоссе,22,Дом,300+ м²,17+ соток,337163.2329635499,300k+
