title,price,house_area,land_area,location,date_posted
Дом 154 м² на участке 7 сот.,10 999 000 ₽,154 м²,7 сот.,"д. ЕремеевоПятницкое шоссе, 27 км",Вчера
Дом 150 м² на участке 7 сот.,10 900 000 ₽,150 м²,7 сот.,"ТроицкКалужское шоссе, 24 км",2 недели назад
"Дом 158,6 м² на участке 5,9 сот.",19 500 000 ₽,"158,6 м²","5,9 сот.","коттеджный пос. Берег ПесочнойВолоколамское шоссе, 31 км",6 июля 19:18
Дача 55 м² на участке 7 сот.,3 350 000 ₽,55 м²,7 сот.,"загородный комплекс Зелёный кварталЕгорьевское шоссе, 52 км",22 июня 15:22
"Дом 141 м² на участке 6,7 сот.",21 800 000 ₽,141 м²,"6,7 сот.","СНТ КупавнаНосовихинское шоссе, 19 км",10 июля 20:06
Дом 22 м² на участке 6 сот.,600 000 ₽,22 м²,6 сот.,"Дмитров, СНТ ГорнякДмитровское шоссе, 46 км",1 час назад
Дом 180 м² на участке 8 сот.,8 200 000 ₽,180 м²,8 сот.,"СНТ Химик-5АНоворязанское шоссе, 64 км",23 апреля 14:12
Дом 120 м² на участке 4 сот.,5 945 000 ₽,120 м²,4 сот.,"д. МавриноКалужское шоссе, 37 км",17 июля 10:37
Дом 135 м² на участке 7 сот.,11 500 000 ₽,135 м²,7 сот.,"ВоскресенскоеКалужское шоссе, 11 км",7 дней назад
"Дом 240 м² на участке 12,7 сот.",19 795 000 ₽,240 м²,"12,7 сот.","коттеджный пос. Семибратское-1Новорязанское шоссе, 80 км",7 дней назад
Дом 41 м² на участке 18 сот.,3 450 000 ₽,41 м²,18 сот.,д. ФатеевоНосовихинское шоссе,19 июля 12:13
Дом 2524 м² на участке 36 сот.,851 000 000 ₽,2524 м²,36 сот.,"д. Папушево, КП Папушево паркРублёво-Успенское шоссе, 22 км",3 недели назад
Дача 16 м² на участке 6 сот.,1 300 000 ₽,16 м²,6 сот.,"СНТ ОхтаЩёлковское шоссе, 48 км",1 час назад
Дом 583 м² на участке 90 сот.,146 335 860 ₽,583 м²,90 сот.,"коттеджный пос. Ушаковские Дачи-1Волоколамское шоссе, 51 км",27 мая 2024
Дом 75 м² на участке 10 сот.,5 990 000 ₽,75 м²,10 сот.,"ЧерноголовкаЩёлковское шоссе, 50 км",2 августа 15:21
Дом 75 м² на участке 10 сот.,6 000 000 ₽,75 м²,10 сот.,"ШаховскаяНоворижское шоссе, 115 км",3 дня назад
"Дом 34,7 м² на участке 3,4 сот.",7 500 000 ₽,"34,7 м²","3,4 сот.","пгт. НахабиноВолоколамское шоссе, 15 км",3 апреля 10:29
"Дом 18 м² на участке 6,4 сот.",3 600 000 ₽,18 м²,"6,4 сот.","д. ДмитровкаСимферопольское шоссе, 38 км",1 час назад
"Дом 238,2 м² на участке 20 сот.",28 600 000 ₽,"238,2 м²",20 сот.,"с. Новый МилетНосовихинское шоссе, 14 км",12 марта 10:10
Дом 60 м² на участке 5 сот.,4 450 000 ₽,60 м²,5 сот.,"ЧеховСимферопольское шоссе, 54 км",12 марта 09:29
Дом 102 м² на участке 16 сот.,5 800 000 ₽,102 м²,16 сот.,"с. ЮрасовоЕгорьевское шоссе, 45 км",3 сентября 2024
Дом 38 м² на участке 15 сот.,500 000 ₽,38 м²,15 сот.,пос. Конякино,22 июня 2024
"Дом 135,8 м² на участке 6 сот.",17 500 000 ₽,"135,8 м²",6 сот.,"садоводческое некоммерческое товарищество Надежда-МГУКиевское шоссе, 68 км",17 февраля 16:02
Дом 142 м² на участке 10 сот.,7 700 000 ₽,142 м²,10 сот.,"д. ДавыдковоЛенинградское шоссе, 59 км",5 июня 19:35
"Дом 44 м² на участке 22,1 сот.",5 100 000 ₽,44 м²,"22,1 сот.","д. СорокиноВолоколамское шоссе, 47 км",1 час назад
Дом 62 м² на участке 6 сот.,1 790 000 ₽,62 м²,6 сот.,"РогачевоРогачёвское шоссе, 64 км",Вчера
"Дом 78,3 м² на участке 6 сот.",7 700 000 ₽,"78,3 м²",6 сот.,"КлинЛенинградское шоссе, 61 км",3 недели назад
Дача 20 м² на участке 6 сот.,700 000 ₽,20 м²,6 сот.,"садоводческое некоммерческое товарищество ЭлектронЯрославское шоссе, 58 км",2 недели назад
